, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
103.00, Arezzo Co , ON , ARZZ3 ," R$11,086,923 ",0.3%,0.3%, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,26.00,3.9%,16.60,4.40,2.80,100.62, R$1.69 , R$3.87 ,1.7%,44%," R$2,492,432 "," R$355,287 "," R$81,682 "," R$273,605 ",0.14,-0.56, Baixo Endividamento ," R$165,496 "," R$177,141 "," R$206,265 "," R$232,161 "," R$303,424 "," R$646,513 ",31%," R$221,184 ",184%,329%,28%,14%,10%,1.11,30/06/2022," R$386,901 "," 21,290 ", Liquidez Alta 
104.00, Grupo Soma , ON , SOMA3 ," R$10,554,852 ",0.3%,0.3%, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,25.90,3.9%,22.40,1.40,2.40,13.45, R$0.09 , R$0.52 ,0.7%,17%," R$7,304,397 "," R$1,245,353 "," R$247,487 "," R$997,866 ",0.17,1.93, Baixo Endividamento , - , - , - , - , - ," R$515,837 ",-," R$199,199 ",872%,821%,22%,2%,4%,-,30/06/2022," R$220,853 "," 60,583 ", Liquidez Alta 
105.00, Unipar , ON , UNIP3 ," R$10,409,336 ",-,-, Crescimento e Dividendos , Tradicional , Materiais básicos , Químicos , Químicos diversos ,3.90,25.8%,2.50,2.90,1.20,91.00, R$14.71 , R$23.52 ,16.2%,63%," R$3,220,548 "," R$1,415,985 "," R$547,658 "," R$868,327 ",0.44,-0.17, Baixo Endividamento ," R$236,058 "," R$677,977 "," R$575,799 "," R$1,007,016 "," R$580,613 "," R$3,860,161 ",75%," R$2,906,987 ",8%,101%,123%,68%,36%,0.46,30/06/2022," R$5,936 ", 563 , Liquidez Moderada 
106.00, Unipar , PNB , UNIP6 ," R$10,409,336 ",-,-, Crescimento e Dividendos , Tradicional , Materiais básicos , Químicos , Químicos diversos ,4.50,22.2%,2.50,3.40,1.40,105.89, R$16.18 , R$23.52 ,15.3%,69%," R$3,220,548 "," R$1,415,985 "," R$547,658 "," R$868,327 ",0.44,-0.17, Baixo Endividamento ," R$236,058 "," R$677,977 "," R$575,799 "," R$1,007,016 "," R$580,613 "," R$3,860,161 ",75%," R$2,906,987 ",8%,101%,123%,68%,36%,0.79,30/06/2022," R$71,364 "," 4,504 ", Liquidez Alta 
107.00, Usiminas , ON , USIM3 ," R$9,717,510 ",-,-, Crescimento , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,1.70,60.0%,1.50,0.40,0.30,8.19, R$0.75 , R$4.92 ,9.1%,15%," R$23,788,629 "," R$6,047,567 "," R$4,520,523 "," R$1,527,044 ",0.25,0.05, Baixo Endividamento ,"-R$2,317,507 "," R$994,899 "," R$2,055,721 "," R$2,171,806 "," R$1,944,296 "," R$8,476,880 ",-230%," R$3,692,181 ",43%,170%,30%,17%,16%,1.13,30/06/2022," R$6,479 "," 3,362 ", Liquidez Moderada 
108.00, Usiminas , PNA , USIM5 ," R$9,717,510 ",0.2%,0.2%, Crescimento , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,1.50,65.6%,1.50,0.40,0.30,7.50, R$0.82 , R$4.92 ,11.0%,17%," R$23,788,629 "," R$6,047,567 "," R$4,520,523 "," R$1,527,044 ",0.25,0.05, Baixo Endividamento ,"-R$2,317,507 "," R$994,899 "," R$2,055,721 "," R$2,171,806 "," R$1,944,296 "," R$8,476,880 ",-230%," R$3,692,181 ",43%,170%,30%,17%,16%,1.24,30/06/2022," R$387,258 "," 49,071 ", Liquidez Alta 
109.00, Banco Pan , PN , BPAN4 ," R$9,567,082 ",0.1%,0.1%, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,12.50,8.0%,-,1.20,-,7.37, R$0.24 , R$0.59 ,3.3%,41%," R$7,718,812 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$5,330,718 ",-,N/D,13%,,1%,1.63,30/06/2022," R$86,984 "," 24,363 ", Liquidez Alta 
110.00, Bradespar , ON , BRAP3 ," R$9,544,580 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Mineração , Minerais metálicos ,1.50,66.0%,1.60,1.20,-,23.32, R$6.93 , R$15.40 ,29.7%,45%," R$7,741,049 ", R$-   ," R$310,379 ","-R$310,379 ",0.00,-0.05, Empresa com Mais Caixa que Dívida ,"-R$2,476,513 "," R$781,880 "," R$2,609,791 "," R$1,234,255 ","-R$415,618 "," R$5,954,563 ",-219%," R$3,049,767 ",0%,N/D,45%,53%,78%,0.74,30/06/2022," R$4,535 "," 1,070 ", Liquidez Moderada 
111.00, Bradespar , PN , BRAP4 ," R$9,544,580 ",0.3%,0.3%, Dividendos , Nível 1 , Materiais básicos , Mineração , Minerais metálicos ,1.60,62.1%,1.60,1.30,-,24.80, R$7.62 , R$15.40 ,30.7%,50%," R$7,741,049 ", R$-   ," R$310,379 ","-R$310,379 ",0.00,-0.05, Empresa com Mais Caixa que Dívida ,"-R$2,476,513 "," R$781,880 "," R$2,609,791 "," R$1,234,255 ","-R$415,618 "," R$5,954,563 ",-219%," R$3,049,767 ",0%,N/D,45%,53%,78%,0.76,30/06/2022," R$418,152 "," 45,318 ", Liquidez Alta 
112.00, Sao Martinho , ON , SMTO3 ," R$9,476,822 ",0.2%,0.2%, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Açúcar e álcool ,6.30,16.0%,4.60,1.80,1.50,27.36, R$2.19 , R$4.37 ,8.0%,50%," R$5,382,589 "," R$9,184,906 "," R$175,087 "," R$9,009,819 ",1.71,1.85, Dívida Moderada ," R$1,047,476 "," R$1,101,481 "," R$1,327,046 "," R$1,616,898 "," R$1,738,649 "," R$3,428,096 ",27%," R$3,390,390 ",76%,298%,34%,12%,8%,1.19,30/06/2022," R$189,278 "," 39,785 ", Liquidez Alta 
113.00, Smart Fit , ON , SMFT3 ," R$9,426,776 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Viagens e lazer , Atividades esportivas ,-21.20,-4.7%,13.60,2.30,4.10,16.08, R$-   ,-R$0.76 ,0.0%,0%," R$4,131,642 "," R$3,018,127 "," R$1,149,617 "," R$1,868,510 ",0.73,0.36, Baixo Endividamento ," R$171,532 "," R$172,426 "," R$178,185 "," R$689,407 "," R$617,526 "," R$715,179 ",33%," R$227,719 ",396%,108%,-21%,-1%,-4%,-,30/06/2022," R$31,474 "," 7,877 ", Liquidez Alta 
114.00, SLC Agricola , ON , SLCE3 ," R$9,411,801 ",0.2%,0.2%, Crescimento , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,6.20,16.1%,4.50,1.90,1.10,45.29, R$2.43 , R$7.30 ,5.4%,33%," R$4,840,221 "," R$3,840,842 "," R$640,837 "," R$3,200,005 ",0.79,1.11, Baixo Endividamento ," R$392,301 "," R$214,557 "," R$684,959 "," R$768,988 "," R$664,522 "," R$2,886,645 ",49%," R$1,202,912 ",54%,373%,40%,15%,11%,0.18,30/06/2022," R$187,016 "," 23,340 ", Liquidez Alta 
115.00, Embraer , ON , EMBR3 ," R$9,204,951 ",0.4%,0.4%," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Material de transporte , Material aeronáutico e de defesa ,-432.20,-0.2%,10.50,0.60,0.50,12.53, R$-   ,-R$0.03 ,0.0%,0%," R$14,355,710 "," R$16,567,001 "," R$5,454,468 "," R$11,112,533 ",1.15,4.42, Baixo Endividamento ," R$2,176,385 "," R$1,851,041 "," R$2,057,542 "," R$1,097,914 "," R$187,353 "," R$1,622,262 ",-6%," R$4,211,893 ",34%,145%,0%,2%,0%,1.03,30/06/2022," R$392,378 "," 58,275 ", Liquidez Alta 
116.00, Gps , ON , GGPS3 ," R$8,967,401 ",-,-, Crescimento , Novo Mercado , Bens industriais , Serviços diversos , Serviços diversos ,20.40,4.9%,10.70,3.70,1.10,13.39, R$0.19 , R$0.66 ,1.4%,29%," R$2,415,202 "," R$1,926,593 "," R$787,366 "," R$1,139,227 ",0.80,0.57, Baixo Endividamento , - , - , - ," R$394,516 "," R$453,266 "," R$885,957 ",-," R$319,304 ",188%,360%,22%,11%,6%,-,30/06/2022," R$49,780 "," 14,196 ", Liquidez Alta 
117.00, Petrorecsa , ON , RECV3 ," R$8,773,161 ",-,-, Crescimento , Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,12.00,8.4%,7.10,2.70,3.90,30.00, R$0.16 , R$2.51 ,0.5%,7%," R$3,221,124 "," R$573,470 "," R$244,999 "," R$328,471 ",0.18,-0.99, Baixo Endividamento , - , - , - ," R$151,892 "," R$157,250 "," R$1,077,874 ",-," R$999,209 ",203%,705%,33%,16%,10%,-,30/06/2022," R$196,086 "," 35,788 ", Liquidez Alta 
118.00, Sul America , UNT N2 , SULA11 ," R$8,572,497 ",0.3%,0.3%," Alerta, Baixo Crescimento ", Nível 2 , Financeiro , Previdência e seguros , Seguradoras ,21.30,4.7%,10.90,1.10,0.40,21.93, R$0.07 , R$0.34 ,1.0%,22%," R$8,281,898 "," R$2,993,864 "," R$499,537 "," R$2,494,327 ",0.36,-, Baixo Endividamento ," R$352,101 "," R$247,665 "," R$491,383 "," R$814,529 "," R$1,060,420 ","-R$493,521 ",-207%,"-R$996,205 ",-41%,256%,5%,-9%,1%,1.29,30/06/2022," R$285,669 "," 62,986 ", Liquidez Alta 
119.00, Simpar , ON , SIMH3 ," R$8,556,423 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Holdings diversificadas , Holdings diversificadas ,11.20,8.9%,5.80,3.30,0.50,10.34, R$0.62 , R$0.92 ,6.0%,67%," R$2,632,112 "," R$37,057,237 "," R$2,530,055 "," R$34,527,182 ",14.08,3.86, Dívida Alta ," R$1,092,081 "," R$1,045,970 "," R$1,230,201 "," R$1,597,534 "," R$2,115,909 "," R$5,706,951 ",39%,"-R$11,029,057 ",-7%,54%,29%,9%,3%,1.82,30/06/2022," R$77,952 "," 25,125 ", Liquidez Alta 
120.00, 3r Petroleum , ON , RRRP3 ," R$8,429,898 ",0.4%,0.4%," Alerta, Prejuízo ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,-33.70,-3.0%,12.40,2.20,6.10,41.61, R$-   ,-R$1.24 ,0.0%,0%," R$3,879,970 "," R$101,590 "," R$349,287 ","-R$247,697 ",0.03,-0.61, Empresa com Mais Caixa que Dívida , - , - ,"-R$50,376 "," R$35,807 ",,,-," R$74,566 ",2330%,994%,-16%,7%,-5%,-,30/06/2022," R$547,712 "," 56,235 ", Liquidez Alta 
121.00, Minerva , ON , BEEF3 ," R$8,202,592 ",0.2%,0.2%, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,10.40,9.6%,5.30,11.70,0.30,14.04, R$0.91 , R$1.35 ,6.5%,68%," R$698,265 "," R$12,806,933 "," R$4,398,750 "," R$8,408,183 ",18.34,2.36, Dívida Moderada ," R$996,528 "," R$967,353 "," R$1,134,561 "," R$896,244 "," R$1,726,076 "," R$2,792,609 ",23%," R$2,006,610 ",39%,201%,180%,21%,4%,0.84,30/06/2022," R$376,952 "," 79,448 ", Liquidez Alta 
122.00, BR Malls Par , ON , BRML3 ," R$8,089,336 ",0.4%,0.4%," Alerta, Baixo Crescimento ", Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,17.40,5.8%,11.40,0.70,6.30,9.81, R$0.05 , R$0.57 ,0.6%,10%," R$10,976,673 "," R$3,536,219 "," R$16,667 "," R$3,519,552 ",0.32,2.45, Baixo Endividamento ," R$1,445,851 "," R$256,474 ","-R$899,508 "," R$1,658,858 "," R$1,988,957 "," R$921,528 ",-9%," R$809,124 ",10%,130%,5%,3%,3%,1.12,30/06/2022," R$461,376 "," 58,826 ", Liquidez Alta 
123.00, Alupar , PN , ALUP4 ," R$8,057,649 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,7.60,13.2%,5.50,1.10,1.70,9.22, R$0.41 , R$1.22 ,4.5%,34%," R$7,282,800 "," R$10,782,022 "," R$545,253 "," R$10,236,769 ",1.48,2.30, Baixo Endividamento ," R$1,150,777 "," R$1,329,537 "," R$1,170,180 "," R$1,294,821 "," R$2,557,747 "," R$3,686,136 ",26%," R$1,830,927 ",33%,387%,19%,10%,7%,0.75,30/06/2022, R$292 , 197 , Liquidez Baixa 
124.00, Alupar , UNT N2 , ALUP11 ," R$8,057,649 ",-,-, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,7.70,13.0%,5.50,1.10,1.70,28.10, R$0.41 , R$1.22 ,4.4%,34%," R$7,282,800 "," R$10,782,022 "," R$545,253 "," R$10,236,769 ",1.48,2.30, Baixo Endividamento ," R$1,150,777 "," R$1,329,537 "," R$1,170,180 "," R$1,294,821 "," R$2,557,747 "," R$3,686,136 ",26%," R$1,830,927 ",33%,387%,19%,10%,7%,0.57,30/06/2022," R$69,338 "," 14,997 ", Liquidez Alta 
125.00, Marfrig , ON , MRFG3 ," R$7,354,118 ",0.2%,0.2%, Crescimento , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,1.10,89.2%,3.80,1.10,0.10,11.15, R$2.59 , R$9.94 ,23.2%,26%," R$6,979,336 "," R$59,833,414 "," R$7,736,989 "," R$52,096,425 ",8.57,2.20, Dívida Moderada ," R$1,710,985 "," R$1,477,939 "," R$1,566,058 "," R$1,075,246 "," R$4,609,868 "," R$18,600,576 ",61%," R$9,346,698 ",39%,127%,138%,12%,6%,0.70,30/06/2022," R$459,293 "," 60,488 ", Liquidez Alta 
126.00, Santos Brp , ON , STBP3 ," R$7,313,362 ",-,0.3%, Crescimento e Dividendos , Novo Mercado , Bens industriais , Transporte , Serviços de apoio e armazenagem ,19.40,5.2%,9.40,3.10,4.10,8.47, R$0.68 , R$0.44 ,8.0%,155%," R$2,355,220 "," R$338,721 "," R$847,752 ","-R$509,031 ",0.14,-0.97, Empresa com Mais Caixa que Dívida ," R$146,611 "," R$87,389 "," R$164,572 "," R$189,535 "," R$221,635 "," R$702,292 ",37%," R$521,185 ",53%,131%,17%,9%,8%,1.16,30/06/2022," R$93,500 "," 27,362 ", Liquidez Alta 
127.00, Cyrela Realt , ON , CYRE3 ," R$7,231,564 ",0.2%,0.2%," Alerta, Baixo Crescimento ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,9.50,10.6%,10.10,1.10,1.40,18.89, R$0.56 , R$2.00 ,3.0%,28%," R$6,484,399 "," R$4,042,172 "," R$262,973 "," R$3,779,199 ",0.62,1.76, Baixo Endividamento ," R$757,524 "," R$345,444 "," R$83,352 "," R$113,811 "," R$665,578 "," R$936,604 ",4%,"-R$490,784 ",-123%,1649%,14%,6%,6%,1.80,30/06/2022," R$807,658 "," 82,860 ", Liquidez Alta 
128.00, Cba , ON , CBAV3 ," R$6,595,875 ",-,0.1%, Crescimento , Novo Mercado , Materiais básicos , Mineração , Minerais metálicos ,4.70,21.4%,3.50,1.20,0.70,11.07, R$0.29 , R$2.37 ,2.6%,12%," R$5,449,089 "," R$2,918,506 "," R$1,126,218 "," R$1,792,288 ",0.54,0.60, Baixo Endividamento , - , - , - , - ," R$706,960 "," R$2,388,678 ",-," R$1,228,759 ",63%,152%,42%,14%,12%,-,30/06/2022," R$206,312 "," 46,038 ", Liquidez Alta 
129.00, Dexco , ON , DXCO3 ," R$6,522,129 ",0.1%,0.1%, Crescimento e Dividendos , Novo Mercado , Materiais básicos , Madeira e papel , Madeira ,5.40,18.5%,4.60,1.10,0.80,8.88, R$1.16 , R$1.64 ,13.1%,71%," R$5,740,787 "," R$5,535,619 "," R$1,961,518 "," R$3,574,101 ",0.96,1.61, Baixo Endividamento ," R$911,338 "," R$901,217 "," R$986,790 "," R$1,545,975 "," R$1,359,185 "," R$2,216,590 ",19%," R$1,226,985 ",130%,208%,22%,9%,8%,1.15,30/06/2022," R$172,124 "," 57,207 ", Liquidez Alta 
130.00, Grendene , ON , GRND3 ," R$6,502,908 ",-,-, Dividendos , Novo Mercado , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,10.30,9.7%,12.60,1.60,2.60,7.21, R$0.43 , R$0.70 ,6.0%,62%," R$4,121,051 "," R$113,514 "," R$21,836 "," R$91,678 ",0.03,-2.48, Baixo Endividamento ," R$454,384 "," R$457,472 "," R$526,229 "," R$522,724 "," R$430,750 "," R$431,575 ",-1%," R$397,544 ",111%,481%,16%,7%,14%,0.78,30/06/2022," R$29,366 "," 18,271 ", Liquidez Alta 
131.00, 3tentos , ON , TTEN3 ," R$6,376,401 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,-,-,-,2.60,-,12.85, R$0.02 , - ,0.1%,-," R$2,420,121 "," R$1,407,956 "," R$500,991 "," R$906,965 ",0.58,-, Baixo Endividamento , - , - , - , - , - , - ,-, - ,-,N/D,,,,-,30/06/2022," R$71,042 "," 20,137 ", Liquidez Alta 
132.00, Locaweb , ON , LWSA3 ," R$6,354,400 ",0.2%,0.2%," Alerta, Baixo Crescimento ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,927.30,0.1%,257.40,2.10,6.40,10.78, R$-   , R$0.01 ,0.0%,0%," R$2,959,028 "," R$93,143 "," R$1,438,296 ","-R$1,345,153 ",0.03,-69.11, Empresa com Mais Caixa que Dívida , - ," R$54,214 "," R$69,147 "," R$73,127 "," R$106,853 "," R$19,463 ",-," R$162,843 ",326%,545%,0%,-2%,0%,-,30/06/2022," R$454,468 "," 76,264 ", Liquidez Alta 
133.00, Vivara S.A. , ON , VIVA3 ," R$6,177,419 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Tecidos vestuário e calçados , Acessórios ,17.80,5.6%,14.50,4.10,3.70,26.20, R$0.33 , R$1.47 ,1.3%,22%," R$1,518,842 "," R$232,277 "," R$164,942 "," R$67,335 ",0.15,-0.10, Baixo Endividamento , - , - , - , - ," R$322,056 "," R$421,883 ",-," R$72,618 ",174%,140%,28%,12%,14%,1.37,30/06/2022," R$183,640 "," 35,913 ", Liquidez Alta 
134.00, Omegaenergia , ON , MEGA3 ," R$6,140,270 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,6.40,15.7%,13.80,1.50,8.00,10.78, R$-   , R$1.69 ,0.0%,0%," R$4,140,023 "," R$7,147,476 "," R$1,440,048 "," R$5,707,428 ",1.73,6.66, Dívida Alta ," R$74,441 "," R$100,346 "," R$291,860 "," R$393,191 "," R$573,241 "," R$856,997 ",63%," R$10,618 ",-3576%,-980%,18%,5%,5%,0.72,30/06/2022," R$69,884 "," 25,707 ", Liquidez Alta 
135.00, Copasa , ON , CSMG3 ," R$5,994,852 ",-,-, Crescimento , Novo Mercado , Utilidade pública , Água e saneamento , Água e saneamento ,14.00,7.1%,5.90,0.90,1.00,15.81, R$0.38 , R$1.13 ,2.4%,34%," R$7,020,862 "," R$3,720,814 "," R$789,335 "," R$2,931,479 ",0.53,1.93, Baixo Endividamento ," R$864,652 "," R$1,396,109 "," R$1,520,709 "," R$1,490,864 "," R$1,758,469 "," R$1,520,355 ",12%," R$1,238,574 ",96%,154%,6%,5%,3%,0.97,30/06/2022," R$137,668 "," 30,333 ", Liquidez Alta 
136.00, Azul , PN , AZUL4 ," R$5,853,457 ",0.3%,0.2%," Alerta, Prejuízo ", Nível 2 , Bens industriais , Transporte , Transporte aéreo ,-2.40,-41.6%,10.60,-0.30,0.40,16.84, R$-   ,-R$7.00 ,0.0%,0%,"-R$18,116,800 "," R$23,175,863 "," R$2,033,628 "," R$21,142,235 ",-1.28,8.32, Patrimônio Líquido Negativo , - ," R$645,487 "," R$1,164,814 "," R$850,350 "," R$2,475,484 "," R$2,540,765 ",-," R$1,130,405 ",87%,53%,,6%,-13%,2.18,30/06/2022," R$545,104 "," 61,310 ", Liquidez Alta 
137.00, Fleury , ON , FLRY3 ," R$5,829,233 ",0.3%,0.2%, Crescimento e Dividendos , Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,16.80,6.0%,7.40,3.20,1.40,18.38, R$0.80 , R$1.09 ,4.4%,74%," R$1,817,058 "," R$3,603,109 "," R$20,643 "," R$3,582,466 ",1.98,2.45, Dívida Moderada ," R$358,096 "," R$484,208 "," R$619,624 "," R$692,538 "," R$880,643 "," R$1,176,471 ",27%," R$895,208 ",50%,104%,20%,9%,5%,0.71,30/06/2022," R$230,245 "," 43,794 ", Liquidez Alta 
138.00, Mont Aranha , ON , MOAR3 ," R$5,678,563 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Holdings diversificadas , Holdings diversificadas ,104.50,1.0%,-118.80,6.80,123447.00,463.51, R$44.08 , R$4.44 ,9.5%,993%," R$833,408 "," R$864,437 "," R$118,319 "," R$746,118 ",1.04,-, Baixo Endividamento ,"-R$21,949 "," R$307,712 "," R$99,587 "," R$20,996 "," R$54,135 ","-R$48,099 ",17%,"-R$9,879 ",2714%,-34506%,4%,-3%,3%,0.31,30/06/2022," R$2,234 ", 39 , Liquidez Moderada 
139.00, Cogna ON , ON , COGN3 ," R$5,587,508 ",0.3%,0.2%," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Diversos , Serviços educacionais ,-13.30,-7.5%,10.20,0.40,1.10,2.98, R$-   ,-R$0.22 ,0.0%,0%," R$12,615,388 "," R$9,550,541 "," R$946,959 "," R$8,603,582 ",0.76,4.75, Baixo Endividamento ," R$1,875,241 "," R$2,208,005 "," R$2,111,221 "," R$1,721,676 "," R$2,214,678 "," R$1,222,708 ",-8%," R$407,975 ",36%,15%,-3%,1%,-2%,2.09,30/06/2022," R$438,874 "," 85,304 ", Liquidez Alta 
140.00, Blau , ON , BLAU3 ," R$5,568,746 ",-,-, Crescimento e Dividendos , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,17.80,5.6%,11.70,3.20,4.10,31.15, R$0.80 , R$1.75 ,2.6%,46%," R$1,720,943 "," R$316,821 "," R$14,788 "," R$302,033 ",0.18,-1.11, Baixo Endividamento , - ," R$76,929 "," R$173,245 "," R$213,258 "," R$311,405 "," R$434,890 ",-," R$251,896 ",62%,722%,20%,21%,13%,-,30/06/2022," R$64,523 "," 8,555 ", Liquidez Alta 
141.00, AES Brasil , ON , AESB3 ," R$5,561,978 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,11.50,8.7%,13.40,1.40,1.60,9.29, R$0.11 , R$0.81 ,1.2%,13%," R$3,274,146 "," R$7,933,241 "," R$521,663 "," R$7,411,578 ",2.42,5.36, Dívida Alta ," R$1,422,949 "," R$805,363 "," R$842,158 "," R$1,011,184 "," R$1,036,251 "," R$841,079 ",-10%,"-R$1,095,069 ",-234%,512%,18%,2%,3%,0.54,30/06/2022," R$72,026 "," 24,479 ", Liquidez Alta 
142.00, Alianscsonae , ON , ALSO3 ," R$5,529,820 ",-,-, Crescimento , Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,21.60,4.6%,6.80,0.80,5.30,20.81, R$0.38 , R$0.96 ,1.9%,40%," R$6,708,840 ", R$-   ," R$37,544 ","-R$37,544 ",0.00,-1.96, Empresa com Mais Caixa que Dívida ," R$337,864 "," R$389,090 "," R$384,679 "," R$562,234 "," R$372,972 "," R$755,479 ",17%," R$666,298 ",15%,50%,4%,4%,3%,1.29,30/06/2022," R$94,396 "," 20,049 ", Liquidez Alta 
143.00, P.Acucar-Cbd , ON , PCAR3 ," R$5,490,925 ",0.2%,0.1%," Alerta, Baixo Crescimento ", Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,2.90,34.9%,3.60,0.40,0.10,20.39, R$0.35 , R$7.11 ,1.7%,5%," R$14,269,000 "," R$8,486,000 "," R$3,918,000 "," R$4,568,000 ",0.59,1.32, Baixo Endividamento ," R$2,825,000 "," R$1,945,000 "," R$2,342,000 "," R$3,066,000 "," R$3,525,000 "," R$3,449,000 ",4%," R$1,599,000 ",-83%,-67%,14%,3%,5%,0.62,30/06/2022," R$160,645 "," 34,915 ", Liquidez Alta 
144.00, Sanepar , ON , SAPR3 ," R$5,405,078 ",-,-, Crescimento , Nível 2 , Utilidade pública , Água e saneamento , Água e saneamento ,4.50,22.1%,4.10,0.60,0.90,3.37, R$0.22 , R$0.74 ,6.4%,29%," R$8,133,906 "," R$4,829,430 "," R$1,233,229 "," R$3,596,201 ",0.59,1.63, Baixo Endividamento ," R$893,982 "," R$1,170,977 "," R$1,383,522 "," R$1,642,028 "," R$1,971,727 "," R$2,207,139 ",20%," R$1,860,271 ",82%,370%,15%,9%,7%,0.81,30/06/2022," R$6,657 "," 4,282 ", Liquidez Moderada 
145.00, Sanepar , PN , SAPR4 ," R$5,405,078 ",-,-, Crescimento , Nível 2 , Utilidade pública , Água e saneamento , Água e saneamento ,4.90,20.2%,4.10,0.70,1.00,3.68, R$0.24 , R$0.74 ,6.4%,32%," R$8,133,906 "," R$4,829,430 "," R$1,233,229 "," R$3,596,201 ",0.59,1.63, Baixo Endividamento ," R$893,982 "," R$1,170,977 "," R$1,383,522 "," R$1,642,028 "," R$1,971,727 "," R$2,207,139 ",20%," R$1,860,271 ",82%,370%,15%,9%,7%,0.73,30/06/2022," R$27,981 "," 6,433 ", Liquidez Alta 
146.00, Sanepar , UNT N2 , SAPR11 ," R$5,405,078 ",-,-, Crescimento , Nível 2 , Utilidade pública , Água e saneamento , Água e saneamento ,4.80,20.8%,4.10,0.70,1.00,17.93, R$0.23 , R$0.74 ,6.5%,31%," R$8,133,906 "," R$4,829,430 "," R$1,233,229 "," R$3,596,201 ",0.59,1.63, Baixo Endividamento ," R$893,982 "," R$1,170,977 "," R$1,383,522 "," R$1,642,028 "," R$1,971,727 "," R$2,207,139 ",20%," R$1,860,271 ",82%,370%,15%,9%,7%,0.79,30/06/2022," R$40,073 "," 8,158 ", Liquidez Alta 
147.00, Via , ON , VIIA3 ," R$5,388,254 ",0.3%,0.3%," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Comércio , Eletrodomésticos ,-9.30,-10.8%,12.20,1.00,0.20,3.41, R$-   ,-R$0.37 ,0.0%,0%," R$5,627,000 "," R$8,866,000 "," R$1,233,000 "," R$7,633,000 ",1.58,7.17, Dívida Alta ," R$938,000 "," R$936,000 "," R$1,361,000 "," R$685,000 ","-R$159,000 "," R$1,065,000 ",3%," R$2,840,000 ",41%,110%,-9%,0%,-2%,2.50,30/06/2022," R$871,972 "," 115,955 ", Liquidez Alta 
148.00, Viveo , ON , VVEO3 ," R$5,196,635 ",-,-, Crescimento , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,18.10,5.5%,12.80,2.30,0.70,18.34, R$0.41 , R$1.01 ,2.2%,40%," R$2,232,322 "," R$1,963,602 "," R$731,780 "," R$1,231,822 ",0.88,2.45, Baixo Endividamento , - , - , - ," R$124,003 "," R$116,923 "," R$502,597 ",-," R$30,498 ",4272%,994%,19%,6%,4%,-,30/06/2022," R$28,305 "," 3,136 ", Liquidez Alta 
