 Dados Cadastrais ,,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
 Nome , Classe , Código de Neg. , Valor de Mercado , Participação no Ibovespa , Participação no IBRX 100 , Classificação de Mercado , Classificação , Seg. Listagem , Setor Bovespa , Subsetor Bovespa , Segmento Bovespa , P/L , L/P , EV/EBITDA , P/VPA , PSR , Cotação , Dividendo por Ação , Lucro por Ação , Dividend Yield , Payout , Patrimônio , Dívida Bruta , Caixa e Equivalentes , Caixa Líquido , Div Bruta/PL , Div. Líquida/Ebitda , Análise ,EBITDA_2015,EBITDA_2016,EBITDA_2017,EBITDA_2018,EBITDA_2019,EBITDA_2020E (últimos 12 meses),Crescimento Médio Anual, FCO , Capex/FCO , Capex/D&A , ROE , ROIC , ROA , Beta , Data do Balanço Mais Recente , Volume Negociado , Quantidade de Negócios , Análise 
 Banco Inter , ON , BIDI3 ," R$12,102,822 ",-,-,Small Cap, Crescimento e Dividendos , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,326.70,0.3%,-,1.40,-,4.65, R$0.03 , R$0.01 ,0.6%,189%," R$8,488,639 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$167,519 ",-,N/D,2%,,0%,1.26,31/12/2021," R$27,272 "," 17,949 ", Liquidez Alta 
 Banco Inter , PN , BIDI4 ," R$12,102,822 ",-,-,Small Cap, Crescimento e Dividendos , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,333.80,0.3%,-,1.40,-,4.75, R$0.03 , R$0.01 ,0.6%,189%," R$8,488,639 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$167,519 ",-,N/D,2%,,0%,1.33,31/12/2021," R$203,406 "," 36,426 ", Liquidez Alta 
 Banco Inter , UNT , BIDI11 ," R$12,102,822 ",0.4%,0.4%,Small Cap, Crescimento e Dividendos , Nível 2 , Financeiro , Intermediários financeiros , Bancos ,334.20,0.3%,-,1.40,-,14.27, R$0.03 , R$0.01 ,0.6%,189%," R$8,488,639 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$167,519 ",-,N/D,2%,,0%,1.33,31/12/2021," R$1,031,576 "," 154,140 ", Liquidez Alta 
 Gerdau Met , ON , GOAU3 ," R$11,930,344 ",-,-,Small Cap, Dividendos , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.30,44.4%,1.80,0.80,0.10,10.52, R$2.34 , R$4.67 ,22.2%,50%," R$14,650,233 "," R$12,767,607 "," R$4,898,186 "," R$7,869,421 ",0.87,0.17, Baixo Endividamento ,"-R$728,485 "," R$891,194 "," R$3,184,282 "," R$5,914,531 "," R$5,249,007 "," R$25,115,614 ",-303%," R$14,067,887 ",22%,118%,43%,28%,21%,1.22,31/03/2022," R$3,893 "," 1,166 ", Liquidez Moderada 
 Gerdau Met , PN , GOAU4 ," R$11,930,344 ",0.4%,0.4%,Small Cap, Dividendos , Nível 1 , Materiais básicos , Siderurgia e metalurgia , Siderurgia ,2.40,41.3%,1.80,0.80,0.10,11.30, R$2.34 , R$4.67 ,20.7%,50%," R$14,650,233 "," R$12,767,607 "," R$4,898,186 "," R$7,869,421 ",0.87,0.17, Baixo Endividamento ,"-R$728,485 "," R$891,194 "," R$3,184,282 "," R$5,914,531 "," R$5,249,007 "," R$25,115,614 ",-303%," R$14,067,887 ",22%,118%,43%,28%,21%,1.25,31/03/2022," R$597,238 "," 101,279 ", Liquidez Alta 
 Banco Pan , PN , BPAN4 ," R$11,247,524 ",0.2%,0.1%,Small Cap, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,13.70,7.3%,-,1.50,-,8.61, R$0.24 , R$0.63 ,2.8%,39%," R$7,671,689 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$429,618 ",-,N/D,14%,,2%,1.61,31/03/2022," R$269,986 "," 53,911 ", Liquidez Alta 
 Banco Pan , PN Resg , BPAN12 ," R$11,247,524 ",-,-,Small Cap, Crescimento e Dividendos , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,0.60,179.9%,-,0.10,-,0.35, - , R$0.63 ,N/D,-," R$7,671,689 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-,"-R$429,618 ",-,N/D,14%,,2%,-,31/03/2022, R$875 , 939 , Liquidez Baixa 
 SLC Agricola , ON , SLCE3 ," R$10,736,713 ",0.3%,0.2%,Small Cap, Crescimento , Novo Mercado , Consumo não cíclico , Agropecuária , Agricultura ,7.30,13.6%,4.60,2.30,1.30,51.64, R$2.43 , R$7.04 ,4.7%,35%," R$4,696,128 "," R$2,998,942 "," R$1,117,157 "," R$1,881,785 ",0.64,0.67, Baixo Endividamento ," R$392,301 "," R$214,557 "," R$684,959 "," R$768,988 "," R$664,522 "," R$2,794,752 ",48%," R$1,183,536 ",50%,344%,46%,17%,10%,0.04,31/03/2022," R$470,025 "," 48,849 ", Liquidez Alta 
 Dasa , ON , DASA3 ," R$10,217,671 ",-,-,Small Cap," Alerta, Prejuízo ", Novo Mercado , Saúde , Serviços médico-hospitalares análises e diagnósticos , Serviços médico-hospitalares análises e diagnósticos ,-56.60,-1.8%,-,1.30,0.90,18.23, R$0.30 ,-R$0.32 ,1.7%,-94%," R$7,573,556 "," R$9,301,108 "," R$1,034,318 "," R$8,266,790 ",1.23,-, Baixo Endividamento ," R$345,275 "," R$529,142 "," R$563,376 "," R$605,491 "," R$853,929 ", - ,-," R$711,071 ",-,N/D,-5%,1%,-1%,0.03,31/03/2022," R$35,480 "," 13,451 ", Liquidez Alta 
 Grupo Mateus , ON , GMAT3 ," R$10,207,179 ",-,-,Small Cap, Crescimento , Novo Mercado , Consumo não cíclico , Comércio e distribuição , Alimentos ,12.70,7.9%,-,1.50,0.60,4.62, R$-   , R$0.36 ,0.0%,0%," R$6,599,905 "," R$2,095,496 "," R$618,570 "," R$1,476,926 ",0.32,-, Baixo Endividamento , - , - , - , - , - , - ,-,"-R$18,252 ",-,N/D,14%,8%,8%,-,31/03/2022," R$164,569 "," 82,134 ", Liquidez Alta 
 Bradespar , ON , BRAP3 ," R$10,034,374 ",-,-,Small Cap," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Mineração , Minerais metálicos ,1.30,77.6%,1.30,1.20,-,23.93, R$8.36 , R$18.58 ,34.9%,45%," R$7,663,714 ", R$-   ," R$905,323 ","-R$905,323 ",0.00,-0.13, Empresa com Mais Caixa que Dívida ,"-R$2,476,513 "," R$781,880 "," R$2,609,791 "," R$1,234,255 ","-R$415,618 "," R$7,231,719 ",-224%," R$3,683,948 ",0%,N/D,60%,71%,95%,0.79,31/03/2022," R$16,895 "," 3,715 ", Liquidez Alta 
 Bradespar , PN , BRAP4 ," R$10,034,374 ",0.3%,0.3%,Small Cap, Dividendos , Nível 1 , Materiais básicos , Mineração , Minerais metálicos ,1.40,70.4%,1.30,1.40,-,26.39, R$9.20 , R$18.58 ,34.9%,50%," R$7,663,714 ", R$-   ," R$905,323 ","-R$905,323 ",0.00,-0.13, Empresa com Mais Caixa que Dívida ,"-R$2,476,513 "," R$781,880 "," R$2,609,791 "," R$1,234,255 ","-R$415,618 "," R$7,231,719 ",-224%," R$3,683,948 ",0%,N/D,60%,71%,95%,0.80,31/03/2022," R$469,539 "," 60,538 ", Liquidez Alta 
 Marfrig , ON , MRFG3 ," R$9,937,131 ",0.3%,0.3%,Small Cap, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,2.50,40.7%,2.20,3.00,0.10,15.05, R$3.23 , R$6.12 ,21.5%,53%," R$3,359,717 "," R$32,879,358 "," R$4,959,478 "," R$27,919,880 ",9.79,1.42, Dívida Moderada ," R$1,710,985 "," R$1,477,939 "," R$1,566,058 "," R$1,075,246 "," R$4,609,868 "," R$15,273,050 ",55%," R$10,453,370 ",41%,268%,167%,32%,14%,0.64,31/03/2022," R$858,346 "," 93,644 ", Liquidez Alta 
 Sul America , PN , SULA4 ," R$9,853,057 ",-,-,Small Cap, Crescimento , Nível 2 , Financeiro , Previdência e seguros , Seguradoras ,32.00,3.1%,12.50,1.20,0.50,8.06, R$0.07 , R$0.25 ,0.9%,30%," R$8,150,848 "," R$3,326,433 "," R$843,037 "," R$2,483,396 ",0.41,-, Baixo Endividamento ," R$352,101 "," R$247,665 "," R$491,383 "," R$814,529 "," R$1,060,420 ","-R$360,102 ",-200%,"-R$740,104 ",-25%,122%,4%,-10%,1%,1.26,31/03/2022, R$385 , 243 , Liquidez Baixa 
 Sul America , UNT N2 , SULA11 ," R$9,853,057 ",0.3%,0.3%,Small Cap, Crescimento , Nível 2 , Financeiro , Previdência e seguros , Seguradoras ,32.20,3.1%,12.50,1.20,0.50,24.33, R$0.07 , R$0.25 ,0.9%,30%," R$8,150,848 "," R$3,326,433 "," R$843,037 "," R$2,483,396 ",0.41,-, Baixo Endividamento ," R$352,101 "," R$247,665 "," R$491,383 "," R$814,529 "," R$1,060,420 ","-R$360,102 ",-200%,"-R$740,104 ",-25%,122%,4%,-10%,1%,1.29,31/03/2022," R$730,380 "," 134,055 ", Liquidez Alta 
 Unipar , ON , UNIP3 ," R$9,822,586 ",-,-,Small Cap, Crescimento e Dividendos , Tradicional , Materiais básicos , Químicos , Químicos diversos ,4.90,20.5%,3.10,4.20,1.50,93.10, R$14.01 , R$19.11 ,15.1%,73%," R$2,288,743 "," R$1,474,829 "," R$331,177 "," R$1,143,652 ",0.64,-0.05, Baixo Endividamento ," R$236,058 "," R$677,977 "," R$575,799 "," R$1,007,016 "," R$580,613 "," R$3,163,841 ",68%," R$2,289,901 ",14%,142%,115%,65%,32%,0.40,31/12/2021," R$12,579 "," 1,032 ", Liquidez Alta 
 Unipar , PNB , UNIP6 ," R$9,822,586 ",-,-,Small Cap, Crescimento e Dividendos , Tradicional , Materiais básicos , Químicos , Químicos diversos ,5.00,20.0%,3.10,4.30,1.60,95.40, R$15.42 , R$19.11 ,16.2%,81%," R$2,288,743 "," R$1,474,829 "," R$331,177 "," R$1,143,652 ",0.64,-0.05, Baixo Endividamento ," R$236,058 "," R$677,977 "," R$575,799 "," R$1,007,016 "," R$580,613 "," R$3,163,841 ",68%," R$2,289,901 ",14%,142%,115%,65%,32%,0.75,31/12/2021," R$120,491 "," 7,469 ", Liquidez Alta 
 Embraer , ON , EMBR3 ," R$9,814,697 ",0.5%,0.5%,Small Cap," Alerta, Baixo Crescimento ", Novo Mercado , Bens industriais , Material de transporte , Material aeronáutico e de defesa ,221.80,0.5%,8.60,0.80,0.50,13.36, R$-   , R$0.06 ,0.0%,0%," R$12,545,865 "," R$16,846,325 "," R$5,352,667 "," R$11,493,658 ",1.34,3.67, Baixo Endividamento ," R$2,176,385 "," R$1,851,041 "," R$2,057,542 "," R$1,097,914 "," R$187,353 "," R$2,095,595 ",-1%," R$4,093,285 ",35%,133%,0%,3%,0%,1.03,31/03/2022," R$762,776 "," 77,087 ", Liquidez Alta 
 Gps , ON , GGPS3 ," R$9,371,571 ",-,-,Small Cap, Crescimento , Novo Mercado , Bens industriais , Serviços diversos , Serviços diversos ,22.30,4.5%,-,4.10,1.30,14.04, R$0.19 , R$0.63 ,1.3%,30%," R$2,284,101 "," R$1,962,348 "," R$694,401 "," R$1,267,947 ",0.86,-, Baixo Endividamento , - , - , - ," R$394,516 "," R$453,266 ", - ,-," R$368,890 ",-,N/D,47%,11%,6%,-,31/03/2022," R$86,027 "," 26,382 ", Liquidez Alta 
 Smart Fit , ON , SMFT3 ," R$9,233,316 ",-,-,Small Cap," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Viagens e lazer , Atividades esportivas ,-15.00,-6.7%,17.40,2.30,4.30,15.75, - ,-R$1.05 ,N/D,-," R$4,099,530 "," R$3,505,940 "," R$1,611,654 "," R$1,894,286 ",0.86,0.03, Baixo Endividamento ," R$171,532 "," R$172,426 "," R$178,185 "," R$689,407 "," R$617,526 "," R$532,889 ",25%," R$170,868 ",396%,84%,-23%,-3%,-5%,-,31/03/2022," R$94,951 "," 29,878 ", Liquidez Alta 
 Intelbras , ON , INTB3 ," R$8,907,746 ",-,-,Small Cap, Crescimento , Novo Mercado , Tecnologia da informação , Computadores e equipamentos , Computadores e equipamentos ,23.80,4.2%,21.40,4.50,2.70,27.19, R$0.34 , R$1.14 ,1.3%,30%," R$1,975,706 "," R$416,165 "," R$662,934 ","-R$246,769 ",0.21,-0.61, Empresa com Mais Caixa que Dívida , - , - ," R$194,564 "," R$203,556 "," R$202,611 "," R$405,863 ",-,"-R$9,280 ",-2752%,522%,22%,13%,11%,-,31/03/2022," R$316,856 "," 49,092 ", Liquidez Alta 
 Arezzo Co , ON , ARZZ3 ," R$8,819,927 ",-,0.2%,Small Cap, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,19.60,5.1%,11.90,3.50,2.50,80.36, R$1.36 , R$4.09 ,1.7%,33%," R$2,497,592 "," R$284,039 "," R$106,747 "," R$177,292 ",0.11,-0.61, Baixo Endividamento ," R$165,496 "," R$177,141 "," R$206,265 "," R$232,161 "," R$303,424 "," R$702,892 ",34%," R$199,272 ",191%,333%,30%,17%,10%,1.10,31/03/2022," R$534,916 "," 41,003 ", Liquidez Alta 
 Dexco , ON , DXCO3 ," R$8,798,999 ",0.2%,0.2%,Small Cap, Crescimento e Dividendos , Novo Mercado , Materiais básicos , Madeira e papel , Madeira ,5.10,19.6%,4.40,1.60,1.10,11.98, R$1.16 , R$2.35 ,9.7%,50%," R$5,504,043 "," R$4,719,764 "," R$1,571,158 "," R$3,148,606 ",0.86,1.15, Baixo Endividamento ," R$911,338 "," R$901,217 "," R$986,790 "," R$1,545,975 "," R$1,359,185 "," R$2,740,009 ",25%," R$1,504,961 ",88%,181%,35%,13%,13%,1.23,31/03/2022," R$192,950 "," 52,281 ", Liquidez Alta 
 Grupo Soma , ON , SOMA3 ," R$8,671,458 ",0.3%,0.3%,Small Cap, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,22.00,4.5%,23.20,1.20,2.10,11.05, R$0.09 , R$0.50 ,0.8%,18%," R$7,173,287 "," R$1,279,129 "," R$385,407 "," R$893,722 ",0.18,2.17, Baixo Endividamento , - , - , - , - , - ," R$411,666 ",-,"-R$5,998 ",-28639%,991%,19%,2%,3%,-,31/03/2022," R$418,060 "," 123,127 ", Liquidez Alta 
 Cielo , ON , CIEL3 ," R$8,597,758 ",0.2%,0.2%,Small Cap, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,-,-,-,0.80,-,3.18, R$0.16 , - ,5.1%,-," R$10,350,009 "," R$5,835,799 "," R$1,772,658 "," R$4,063,141 ",0.56,-, Baixo Endividamento ," R$5,233,511 "," R$5,535,148 "," R$5,277,864 "," R$4,634,796 "," R$3,026,119 ", - ,-, - ,-,N/D,,,,1.07,31/03/2022," R$462,135 "," 79,349 ", Liquidez Alta 
 Simpar , ON , SIMH3 ," R$8,437,264 ",-,-,Small Cap, Crescimento e Dividendos , Novo Mercado , Financeiro , Holdings diversificadas , Holdings diversificadas ,9.00,11.1%,5.80,2.90,0.50,10.23, R$0.62 , R$1.14 ,6.1%,55%," R$2,955,185 "," R$32,769,295 "," R$2,552,381 "," R$30,216,914 ",11.09,3.64, Dívida Alta ," R$1,092,081 "," R$1,045,970 "," R$1,230,201 "," R$1,597,534 "," R$2,115,909 "," R$4,969,006 ",35%,"-R$8,337,801 ",-7%,45%,38%,9%,3%,1.83,31/03/2022," R$170,187 "," 55,716 ", Liquidez Alta 
 3r Petroleum , ON , RRRP3 ," R$8,324,550 ",0.4%,0.4%, Small Cap ," Alerta, Prejuízo ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,-26.50,-3.8%,10.40,2.20,6.80,41.09, R$-   ,-R$1.55 ,0.0%,0%," R$3,800,973 "," R$40,668 "," R$269,538 ","-R$228,870 ",0.01,-2.40, Empresa com Mais Caixa que Dívida , - , - ,"-R$50,376 "," R$35,807 ",,,-," R$3,793 ",11245%,272%,-15%,11%,-5%,-,31/03/2022," R$798,084 "," 86,885 ", Liquidez Alta 
 M.Diasbranco , ON , MDIA3 ," R$8,191,472 ",-,-,Small Cap, Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Alimentos diversos ,16.20,6.2%,12.30,1.20,1.00,24.26, R$1.95 , R$1.49 ,8.0%,130%," R$7,032,288 "," R$1,767,598 "," R$1,555,864 "," R$211,734 ",0.25,0.29, Baixo Endividamento ," R$686,636 "," R$919,418 "," R$966,325 "," R$933,120 "," R$772,054 "," R$683,873 ",0%," R$959,725 ",27%,92%,8%,3%,5%,0.75,31/12/2021," R$161,239 "," 32,505 ", Liquidez Alta 
 Grendene , ON , GRND3 ," R$8,065,284 ",-,-,Small Cap, Dividendos , Novo Mercado , Consumo cíclico , Tecidos vestuário e calçados , Calçados ,13.50,7.4%,16.20,2.00,3.50,8.94, R$0.44 , R$0.66 ,4.9%,67%," R$4,124,614 "," R$178,842 "," R$32,660 "," R$146,182 ",0.04,-2.72, Baixo Endividamento ," R$454,384 "," R$457,472 "," R$526,229 "," R$522,724 "," R$430,750 "," R$425,355 ",-1%," R$584,510 ",65%,422%,15%,7%,13%,0.77,31/03/2022," R$67,519 "," 26,102 ", Liquidez Alta 
 Alupar , ON , ALUP3 ," R$7,696,351 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.30,15.8%,4.90,1.10,1.60,8.79, R$0.41 , R$1.39 ,4.7%,30%," R$7,084,134 "," R$9,982,668 "," R$449,213 "," R$9,533,455 ",1.41,2.02, Baixo Endividamento ," R$1,150,777 "," R$1,329,537 "," R$1,170,180 "," R$1,294,821 "," R$2,557,747 "," R$3,942,997 ",28%," R$1,529,474 ",34%,354%,23%,11%,8%,0.25,31/03/2022, R$529 , 343 , Liquidez Baixa 
 Alupar , PN , ALUP4 ," R$7,696,351 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.20,16.0%,4.90,1.10,1.60,8.68, R$0.41 , R$1.39 ,4.7%,30%," R$7,084,134 "," R$9,982,668 "," R$449,213 "," R$9,533,455 ",1.41,2.02, Baixo Endividamento ," R$1,150,777 "," R$1,329,537 "," R$1,170,180 "," R$1,294,821 "," R$2,557,747 "," R$3,942,997 ",28%," R$1,529,474 ",34%,354%,23%,11%,8%,0.78,31/03/2022, R$527 , 358 , Liquidez Baixa 
 Alupar , UNT N2 , ALUP11 ," R$7,696,351 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,6.20,16.0%,4.90,1.10,1.60,26.08, R$0.41 , R$1.39 ,4.7%,30%," R$7,084,134 "," R$9,982,668 "," R$449,213 "," R$9,533,455 ",1.41,2.02, Baixo Endividamento ," R$1,150,777 "," R$1,329,537 "," R$1,170,180 "," R$1,294,821 "," R$2,557,747 "," R$3,942,997 ",28%," R$1,529,474 ",34%,354%,23%,11%,8%,0.58,31/03/2022," R$132,485 "," 23,036 ", Liquidez Alta 
 Cba , ON , CBAV3 ," R$7,584,958 ",-,-,Small Cap, Crescimento e Dividendos , Novo Mercado , Materiais básicos , Mineração , Minerais metálicos ,5.70,17.7%,4.20,1.50,0.80,12.73, - , R$2.25 ,N/D,-," R$5,159,509 "," R$2,771,195 "," R$1,263,009 "," R$1,508,186 ",0.54,0.55, Baixo Endividamento , - , - , - , - ," R$706,960 "," R$2,163,517 ",-," R$876,264 ",82%,140%,48%,13%,12%,-,31/03/2022," R$487,605 "," 99,713 ", Liquidez Alta 
 Whirlpool , ON , WHRL3 ," R$7,537,634 ",-,-,Small Cap, Crescimento e Dividendos , Tradicional , Consumo cíclico , Utilidades domésticas , Eletrodomésticos ,7.70,13.0%,5.60,3.60,0.70,5.00, R$0.59 , R$0.65 ,11.7%,90%," R$2,106,990 "," R$1,183,021 "," R$1,676,929 ","-R$493,908 ",0.56,-0.40, Empresa com Mais Caixa que Dívida ," R$585,325 "," R$491,776 "," R$594,708 "," R$408,454 "," R$857,798 "," R$1,250,390 ",16%," R$145,049 ",189%,179%,51%,34%,11%,0.71,31/12/2021, R$515 , 151 , Liquidez Baixa 
 Whirlpool , PN , WHRL4 ," R$7,537,634 ",-,-,Small Cap, Crescimento e Dividendos , Tradicional , Consumo cíclico , Utilidades domésticas , Eletrodomésticos ,7.70,12.9%,5.60,3.60,0.70,5.05, R$0.65 , R$0.65 ,12.8%,99%," R$2,106,990 "," R$1,183,021 "," R$1,676,929 ","-R$493,908 ",0.56,-0.40, Empresa com Mais Caixa que Dívida ," R$585,325 "," R$491,776 "," R$594,708 "," R$408,454 "," R$857,798 "," R$1,250,390 ",16%," R$145,049 ",189%,179%,51%,34%,11%,0.64,31/12/2021," R$1,392 ", 425 , Liquidez Moderada 
 BR Malls Par , ON , BRML3 ," R$7,321,942 ",0.4%,0.3%,Small Cap, Crescimento , Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,36.60,2.7%,14.90,0.70,6.00,8.84, R$0.05 , R$0.24 ,0.6%,22%," R$10,844,285 "," R$3,954,993 "," R$17,435 "," R$3,937,558 ",0.36,3.63, Baixo Endividamento ," R$1,445,851 "," R$256,474 ","-R$899,508 "," R$1,658,858 "," R$1,988,957 "," R$692,723 ",-14%," R$646,338 ",54%,619%,2%,2%,1%,1.18,31/03/2022," R$613,570 "," 106,812 ", Liquidez Alta 
 Minerva , ON , BEEF3 ," R$7,162,662 ",0.2%,0.2%,Small Cap, Crescimento e Dividendos , Novo Mercado , Consumo não cíclico , Alimentos processados , Carnes e derivados ,14.90,6.7%,5.40,14.70,0.20,12.26, R$0.69 , R$0.82 ,5.6%,84%," R$485,754 "," R$11,786,987 "," R$4,138,948 "," R$7,648,039 ",24.27,2.54, Dívida Moderada ," R$996,528 "," R$967,353 "," R$1,134,561 "," R$896,244 "," R$1,726,076 "," R$2,553,200 ",21%," R$2,384,631 ",28%,186%,45%,20%,3%,0.83,31/03/2022," R$665,199 "," 90,698 ", Liquidez Alta 
 Petrorecsa , ON , RECV3 ," R$6,497,979 ",-,-,Small Cap," Alerta, Baixo Crescimento ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,10.60,9.4%,8.30,3.10,4.20,26.16, R$0.16 , R$2.46 ,0.6%,7%," R$2,085,378 "," R$578,841 "," R$156,467 "," R$422,374 ",0.28,-0.12, Baixo Endividamento , - , - , - ," R$151,892 "," R$157,250 "," R$767,360 ",-," R$734,815 ",128%,451%,73%,12%,12%,-,31/03/2022," R$133,950 "," 30,379 ", Liquidez Alta 
 Azul , PN , AZUL4 ," R$6,387,231 ",0.3%,0.3%,Small Cap, Crescimento , Nível 2 , Bens industriais , Transporte , Transporte aéreo ,5.10,19.4%,14.00,-0.40,0.60,18.69, R$-   , R$3.63 ,0.0%,0%,"-R$15,638,829 "," R$21,717,780 "," R$1,857,771 "," R$19,860,009 ",-1.39,10.60, Patrimônio Líquido Negativo , - ," R$645,487 "," R$1,164,814 "," R$850,350 "," R$2,475,484 "," R$1,873,513 ",-,"-R$189,910 ",-414%,46%,,1%,7%,2.08,31/03/2022," R$846,196 "," 89,549 ", Liquidez Alta 
 Santos Brp , ON , STBP3 ," R$5,987,041 ",-,0.3%,Small Cap, Crescimento e Dividendos , Novo Mercado , Bens industriais , Transporte , Serviços de apoio e armazenagem ,17.90,5.6%,8.30,2.70,3.60,6.94, R$0.30 , R$0.39 ,4.3%,77%," R$2,248,940 "," R$353,249 "," R$896,040 ","-R$542,791 ",0.16,-1.11, Empresa com Mais Caixa que Dívida ," R$146,611 "," R$87,389 "," R$164,572 "," R$189,535 "," R$221,635 "," R$636,830 ",34%," R$470,361 ",53%,127%,16%,9%,7%,1.13,31/03/2022," R$241,017 "," 60,835 ", Liquidez Alta 
 Omegaenergia , ON , MEGA3 ," R$5,963,695 ",-,-,Small Cap, Crescimento , Novo Mercado , Utilidade pública , Energia elétrica , Energia elétrica ,5.20,19.3%,13.60,1.40,7.60,10.47, R$-   , R$2.03 ,0.0%,0%," R$4,210,343 "," R$6,205,847 "," R$62,408 "," R$6,143,439 ",1.47,6.28, Baixo Endividamento ," R$74,441 "," R$100,346 "," R$291,860 "," R$393,191 "," R$573,241 "," R$816,862 ",61%," R$56,599 ",-1533%,-2344%,16%,5%,5%,0.86,31/03/2022," R$112,786 "," 40,231 ", Liquidez Alta 
 Sanepar , ON , SAPR3 ," R$5,923,926 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Água e saneamento , Água e saneamento ,4.70,21.1%,3.90,0.70,1.10,3.84, R$0.21 , R$0.81 ,5.6%,26%," R$8,118,286 "," R$4,736,736 "," R$1,590,807 "," R$3,145,929 ",0.58,1.34, Baixo Endividamento ," R$893,982 "," R$1,170,977 "," R$1,383,522 "," R$1,642,028 "," R$1,971,727 "," R$2,346,195 ",21%," R$1,843,413 ",77%,349%,17%,10%,8%,0.86,31/03/2022," R$3,621 "," 1,942 ", Liquidez Moderada 
 Sanepar , PN , SAPR4 ," R$5,923,926 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Água e saneamento , Água e saneamento ,4.90,20.4%,3.90,0.70,1.10,3.96, R$0.23 , R$0.81 ,5.9%,29%," R$8,118,286 "," R$4,736,736 "," R$1,590,807 "," R$3,145,929 ",0.58,1.34, Baixo Endividamento ," R$893,982 "," R$1,170,977 "," R$1,383,522 "," R$1,642,028 "," R$1,971,727 "," R$2,346,195 ",21%," R$1,843,413 ",77%,349%,17%,10%,8%,0.77,31/03/2022," R$34,129 "," 8,267 ", Liquidez Alta 
 Sanepar , UNT N2 , SAPR11 ," R$5,923,926 ",-,-,Small Cap, Crescimento , Nível 2 , Utilidade pública , Água e saneamento , Água e saneamento ,4.90,20.4%,3.90,0.70,1.10,19.83, R$0.23 , R$0.81 ,5.8%,28%," R$8,118,286 "," R$4,736,736 "," R$1,590,807 "," R$3,145,929 ",0.58,1.34, Baixo Endividamento ," R$893,982 "," R$1,170,977 "," R$1,383,522 "," R$1,642,028 "," R$1,971,727 "," R$2,346,195 ",21%," R$1,843,413 ",77%,349%,17%,10%,8%,0.82,31/03/2022," R$116,249 "," 25,698 ", Liquidez Alta 
 Movida , ON , MOVI3 ," R$5,773,806 ",-,0.1%,Small Cap, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Diversos , Aluguel de carros ,5.60,17.7%,5.30,1.80,0.80,15.98, R$1.37 , R$2.84 ,8.6%,48%," R$3,241,286 "," R$13,878,756 "," R$903,521 "," R$12,975,235 ",4.28,3.11, Dívida Alta ," R$253,465 "," R$269,127 "," R$326,847 "," R$481,738 "," R$746,559 "," R$2,641,605 ",60%,"-R$4,176,790 ",-3%,22%,41%,11%,5%,1.67,31/03/2022," R$194,003 "," 45,531 ", Liquidez Alta 
